airport_name,link,title,author,author_country,date,content,experience_airport,date_visit,type_traveller,overall_rating,queuing_rating,terminal_cleanliness_rating,terminal_seating_rating,terminal_signs_rating,food_beverages_rating,airport_shopping_rating,wifi_connectivity_rating,airport_staff_rating,recommended
abidjan-airport,/airport-reviews/abidjan-airport,Abidjan Airport customer review,Grant Macpherson,NA,2005-05-28,I've been through ABJ Airport a number of times over the last couple of years and consider it the best airport in West / Central Africa possible one of the newest. Very clean and friendly with good security. Customs and Immigration take a while to get through but post 9/11 it's no worse than in the States or Europe. Air france the main carrier to/from Europe has additional security prior to boarding the plane. Check in staff and airport Staff both landside and airside very helpfull generally very good Duty Free taking both CFA Euro Dollars and credit cards,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
abu-dhabi-airport,/airport-reviews/abu-dhabi-airport,Abu Dhabi Airport customer review,Jay Sitlani,United States,2015-07-14,"Transiting through AUH is an ordeal, and lets down the very good inflight product of its dominant hub carrier Etihad. Herding transit passengers through a security line (and forcing premium pax into their own dedicated but much slower line) and requiring them to take their belts, shoes, watches, phones, plus anything else in their pockets off is absurd. And if you're connecting to the US, then you have to repeat this farcical performance. A new terminal is being constructed, and while I suspect it will be posh and modern and beautiful, it will still be burdened by these transit procedures. Etihad is a fabulous carrier, but the transit at AUH will make me think twice before I choose it for my long haul travel needs.",Transit,14-06-2015,Solo Leisure,4,2,2,2,NA,0,NA,NA,NA,0
abu-dhabi-airport,/airport-reviews/abu-dhabi-airport,Abu Dhabi Airport customer review,Loay Osman,United Arab Emirates,2015-07-04,Very confusing airport and not user friendly. Strange lay out. Lounges are cramped and not enough food and beverage  outlets. Extremely expensive duty free. Bathrooms looks shabby and not very well maintained. Overall the airport looks very tired. Too many announcements. However AUH are building their new airport,Arrival and Departure,04-06-2015,Solo Leisure,4,4,2,2,NA,1,1,1,NA,0
abu-dhabi-airport,/airport-reviews/abu-dhabi-airport,Abu Dhabi Airport customer review,Nur Afiqah Rahmat,United Arab Emirates,2015-06-15,"I've lost count the amount of times I've traveled in and out of this airport, but I have been to all 3 terminals to review them here. Terminal 1: This is where all the other airlines (not low cost) flies out to and out from. Small considering its Abu Dhabi, where all the money is at. You are required to scan your luggage prior to check in and 'apparently' only passengers are allowed to go there, even if you're just there to buy flight tickets which is located inside. Only one small coffee shop before the immigration check for you to hang with your loved ones before you say goodbye. Inside the terminal past security, only few stores available, and all are tiny. Terminal 2: This is where the low costs airlines such as Rotana Jet flies in or out from. Terminal is tiny, looks like a ghost town with only one coffee shop that surprisingly has good food. Coming in to the terminal was another nightmare. I've flown in twice here and both times were jam packed. It's as if the queue is never ending. Terminal 3: This is where all the Etihad flights come in and out from. Much better than the other 2 terminals and you can actually check in at the counter with another person accompanying you. Shops inside the terminal passed immigration is better than Terminal 1, although still not as amazing as Dubai Terminal 3 or Doha airport. Still, not recommended for transit more than 3 hours. I had to give mix stars for this airport due to the different service quality that is displayed across different terminals. Oh and wifi was awful on all 3 terminals.",Arrival and Departure,14-06-2015,Solo Leisure,4,2,3,0,NA,0,1,0,NA,0
abu-dhabi-airport,/airport-reviews/abu-dhabi-airport,Abu Dhabi Airport customer review,Paul Caunter,Thailand,2015-06-15,"Avoid this airport whatever class you are flying. Overcrowded, rude staff, lack of clean toilets, long queues. Etihad call it their home!",Arrival and Departure,NA,Solo Leisure,NA,1,2,2,NA,2,2,NA,NA,0
abu-dhabi-airport,/airport-reviews/abu-dhabi-airport,Abu Dhabi Airport customer review,J Nascimento,United Kingdom,2015-03-24,A taxi driver suggested to us that roadworks are never really finished in Abu Dhabi. They finish it realise that is was done wrongly and re-do it. Well pretty soon someone will realise that AUH terminal 3 is wrong… It is narrow cramped with a ceiling that makes me (6ft’2”tall) uncomfortable. If you are using or planning to use Etihad and AUH as your hub please understand: this is not DXB Terminal 3. Not even a poor version of it. It feels like a toy airport. Quite unbelievable how bad it is. Even DMK (the old Bangkok airport) feels more spacious. Hope you will not need to use the toilets. They are disgusting. With Dubai and Qatar nearby I don't see the point of ever using AUH again. Etihad is not that great as an airline. Saving £50 here or there and having to transit through this is just not worth.,NA,NA,NA,1,3,1,NA,NA,NA,1,NA,NA,0
abu-dhabi-airport,/airport-reviews/abu-dhabi-airport,Abu Dhabi Airport customer review,Michael Schade,United Arab Emirates,2015-02-12,I am a frequent traveller and I have seen my share of dysfunctional airports but nothing compares to the AUH airport. It did not catch up with its growth over the past few years and passengers have to pay dearly for that shortcoming. It took me 2h from stepping into the building until I reached the gate. There are long queues everywhere check in passport control security and even toilets. Staff are stressed and grouchy. There are at peak hours no seats anywhere in or near the gates. The old and rundown terminal 1 is even worse. I guess passengers have to put up with this till the new terminal opens in about two years.,NA,NA,NA,NA,1,3,NA,NA,NA,2,NA,NA,0
abu-dhabi-airport,/airport-reviews/abu-dhabi-airport,Abu Dhabi Airport customer review,Andy Williams,United Kingdom,2014-11-12,I used AUH on my recent trip to the Philippines as a connection. On both legs I spent only 3 hours in the place. Arrived at Terminal 3 but was departing from Terminal 1 on my outbound leg. The airport website tells you it takes 20 minutes walk but it was more like 10 but I travel light and move fairly quick. Terminal 1 was chaos! It simply is not big enough to house the traffic in and out. Long queues and very little seating. It is also very expensive even for just a drink. Inbound leg both flights arrived and departed from Terminal 3 which is much better. Still the queues into the gates are too long. Had my passport and boarding pass checked twice in the space of 10 meters. All in this place still only gets an average rating. I would use this airport again providing Etihad's ticket prices are decent and hope I only have to use Terminal 3.,NA,NA,NA,5,2,4,NA,NA,NA,3,NA,NA,1
abu-dhabi-airport,/airport-reviews/abu-dhabi-airport,Abu Dhabi Airport customer review,L Mellor,Sweden,2014-11-05,Last visited this airport in the 1980s. In a way I'll be sorry to see it go as its tiled doughnut satellites have stood the test of time architecturally speaking. Compare this with the monstrosity at Charles de Gaulle which seems to have aged in less than 10 years. The biggest problem in landing at the international airport is it take about 15 mins to taxi to/from the runway as the new airport terminal construction means that there are a series of contraflow taxi ways. I read a lot of complaints but I took a family of three young children through the terminal at 2:00am and nothing but praise for the staff and services. The Merc Taxis are spacious and not overpriced.,NA,NA,NA,7,4,4,NA,NA,NA,4,NA,NA,1
abu-dhabi-airport,/airport-reviews/abu-dhabi-airport,Abu Dhabi Airport customer review,M Sawar,United States,2014-05-11,Would not recommend flying through this airport mainly due to lack of appropriate seating in at this airport including the business and first class lounges. Both the lounges were dirty and unkempt.,NA,NA,NA,1,1,1,NA,NA,NA,1,NA,NA,0
abu-dhabi-airport,/airport-reviews/abu-dhabi-airport,Abu Dhabi Airport customer review,David Roberts,United Kingdom,2014-01-28,This is a new airport and its got to be the worst airport I have used it took almost 2 hours to get from our arrival gate to our new departure gate. The staff have no interest in helping you. How this airport works I have no idea its total chaos there is no organisation here. I will use Dubai or Doha in future.,NA,NA,NA,NA,1,2,NA,NA,NA,3,NA,NA,0
abu-dhabi-airport,/airport-reviews/abu-dhabi-airport,Abu Dhabi Airport customer review,N Sutherland,United Kingdom,2013-03-25,I've been through AUH several times in recent years it's always been at night and it's always very busy. This time I had a tight daytime connection (1hr 20 mins) and the inbound flight was 1hr late. Not a problem - the airport was extremely quiet at 9am no queues at all in Security and Etihad held the connecting flight until all the transit passengers had boarded. All very civilized and not at all like short connections in Dubai.,NA,NA,NA,7,5,4,NA,NA,NA,3,NA,NA,1
abu-dhabi-airport,/airport-reviews/abu-dhabi-airport,Abu Dhabi Airport customer review,A Cooper,Australia,2013-02-04,The airport was clean with average facilities but the reason for the low score is the queue time at immigration. I got off my flight at 2am having flown business class into Abu Dhabi. There were 30 immigration counters open each with at least 60 people queuing. The process was so slow with staff leisurely processing customers at a rate of 3 minutes per person that it took 3 hours to get through. There were people complaining all around and the people stamping the passports seemed to be operating 'in their own time' which was extremely slow interspersed with conversation and joke breaks between counters.,NA,NA,NA,2,1,4,NA,NA,NA,3,NA,NA,0
abu-dhabi-airport,/airport-reviews/abu-dhabi-airport,Abu Dhabi Airport customer review,J Monsen,Denmark,2012-12-13,A transfer airport to avoid. I travelled from Turkey to Australia with a stop-over in Abu Dhabi and it was not a pleasant experience. Apparently 1.5 hrs hour is not enough to catch your flight - unless it's delayed which mine (luckily) were. It took about 25-30 minutes to get out of the plane onto a bus and drive to the airport. Then you had to walk to the transfer gates and stand in line for another 30-40 minutes for another security check meaning you are left running for your gate because boarding closes 20 minutes prior to take-off. You do not get to skip line because boarding for your flight had already started - quite frankly they make a huge deal out of stressing the difference between economy and first class passengers - only the latter are treated nicely. The information boards are not updated so only once I had arrived at the gate was I told that the plane would be delayed. At that point you're stuck in a gate with no access to any facilities. On the plus side there is free wifi but that's about it. I have no idea what any of the facilities in the airport was like.,NA,NA,NA,2,1,0,NA,NA,NA,0,NA,NA,0
abu-dhabi-airport,/airport-reviews/abu-dhabi-airport,Abu Dhabi Airport customer review,N Sutherland,United Kingdom,2012-08-09,Been a couple of years since I last travelled through AUH and nothing much has changed - completely useless flight information screens poor choice of duty-free goods and eating options and absolutely brutal air conditioning. On the plus side the airport is built on a human scale and is easy to transit through there's plenty seating and access to clean toilets (things that Dubai fails badly on). For me it's currently the best transit airport in the region.,NA,NA,NA,7,4,4,NA,NA,NA,3,NA,NA,1
abu-dhabi-airport,/airport-reviews/abu-dhabi-airport,Abu Dhabi Airport customer review,Mark Wilkins,United Kingdom,2012-06-06,Transfer from MAN to BKK. As a Silver member of an Etihad guest I can access the Al Reem lounge which is a big plus apart from duty free not a lot of things to do apart from free wifi. However as previous travellers note at peak times the security clearance for transit passengers can be very poor - I saw the longest line yet all the way back to T1 nearly on the way out but no queue at all for the return flight. Like a lot of other airports need to plan better for peak periods early morning early evening - if they do this it would get a lot better reviews.,NA,NA,NA,7,3,3,NA,NA,NA,3,NA,NA,1
abu-dhabi-airport,/airport-reviews/abu-dhabi-airport,Abu Dhabi Airport customer review,N Sutherland,United Kingdom,2011-04-03,Passed through a couple of times - T1 to T3 connection and another connection within T3. 2 hour connections both ways so no problems. T1 is a crowded dump. Signage is poor in both terminals and T3 is a 10-minute walk. Transit Security seemed pretty disorganised but only took a few minutes. T3 had plenty Duty Free Shops with prices similar to DXB. Eating options were adequate and no problems finding toilets. Air conditioning was a bit brutal and there appeared to be plenty of cold people in the middle of the night. Biggest criticism for me were the dreadful flight information screens which are tiny and only covered departures up to 45 minutes ahead - you didn't know which gate to go to and the single information desk wasn't even manned. On balance I think I prefer AUH to DXB for a 2 hour transit - at least AUH is built on a human scale.,NA,NA,NA,3,3,3,NA,NA,NA,3,NA,NA,0
abu-dhabi-airport,/airport-reviews/abu-dhabi-airport,Abu Dhabi Airport customer review,Stephen Taynton,Kazakhstan,2011-01-09,"I have used this airport on a number of occssions but until recently did not see how bad it is. I usually go from the plane to the transit hotel to the lounge and then to the plane. But this time I was unfortunately travelling economy and experience the nightmare of Abu Dhabi - it is just a bad airport with staff not really knowing what they are doing saying ""yes you can find a trolley around the corner"" I nearly walked to London and did not find one. The transfer between terminals is a nightmare with no rationale between what you should do - and with the upgrading in Terminal One the problem is worse. And don't get me started on the rude staff who are the transit hotel. Avoid this airport for your sanity alone.",NA,NA,NA,2,1,1,NA,NA,NA,1,NA,NA,0
abu-dhabi-airport,/airport-reviews/abu-dhabi-airport,Abu Dhabi Airport customer review,A Stevenson,United Kingdom,2010-09-19,Transfer at AUH from LHR enroute to CMB and on return journey. Arrival at AUH Terminal 3 - this is the first time in many years I'd passed through Abu Dhabi and T3 was new to me. Fairly typical modern airport terminal - clean spacious lots of steel and glass. 10 minute walk to Terminal 1 for connecting flight - while still architecturally eye catching showing its age and feeling a bit sticky. 10 or so free internet terminals several of which weren't working. On the return flight we taxied to a remote stand and were bussed to a gate close to terminal 1. Long layover of 6.5 hours. While deciding what to do I was approached by a friendly airport employee who explained my options including (as a UK passport holder) the option to pass through immigration and leave the airport if I so wished. In the end decided to find somewhere quiet to try and catch up with my sleep. Rather than proceed to my departure gate I went up the elevator to the arrivals floor and walked back towards terminal 3. Limited seating en-route and no facilities other than toilets but very quiet and I was largely undisturbed for several hours. I noticed a room full of seating close to the transfer desk. Approaching departure time I made my way back to the departures level and through security (peculiarly I don't remember needing to do this on the outward leg). Once through security the route inevitably winds it's way through a huge shopping area before reaching the T3 departure gates. As is the case with T1 there were several free internet terminals. Plentiful seating at the gates themselves.,NA,NA,NA,3,5,5,NA,NA,NA,3,NA,NA,0
abu-dhabi-airport,/airport-reviews/abu-dhabi-airport,Abu Dhabi Airport customer review,Geoffrey Wyndham-Jones,Kuwait,2010-01-03,In transit only although a change of terminals was required in both directions. Terminal 1 is the old terminal which is short on seating although architecturally interesting with the tiled mushroom in the centre. However seating is limited food choice is limited and the place is kept over-airconditioned. Terminal 3 is the new terminal and is more spacious with better facilities and a greater choice of eating places: if you are in transit it may be better to stay in Terminal 3 until an hour before your flight and then head across to Terminal 1. Security for transfer passengers changing terminals is reasonable with plenty of space and barriers to direct passengers. I was quite impressed.,NA,NA,NA,5,3,5,NA,NA,NA,3,NA,NA,0
abu-dhabi-airport,/airport-reviews/abu-dhabi-airport,Abu Dhabi Airport customer review,A Newton,NA,2009-03-10,A lot better since the new terminal 3 has opened. a lot more spacious and even at their busiest time between 11am - 3pm not a problem. a few duty free shops and places to grab something to eat. not bad at all compared to T1.,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,0
abuja-airport,/airport-reviews/abuja-airport,Abuja Airport customer review,Mark Bickerton,NA,2009-05-24,The international terminal is nice and quite well organised but there is nothing much to do there. The domestic terminal is madness especially between 4pm and 7pm when many flights depart for Lagos. Its more like an old bus station than an airport and I am not sure the security is that strong (last time I was there the boarding passes were handwritten on small pieces of photocopied paper),NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,0
accra-kotoka-airport,/airport-reviews/accra-kotoka-airport,Accra Kotoka Airport customer review,A Fleming,Ghana,2010-06-13,I have been through Kotoka International Airport more times than I care to remember and the attached domestic terminal a couple of times. Against most other African airports I have passed through (around 30) it is at the top end and there is an evident desire to improve. The airport is relatively small has only two gates for international departures and there are an ever increasing list of carriers adding Accra to their routes. Departure is not usually too bad security keeps the majority who may bother travellers at bay. Many first time passengers do not realise the need to go to the extreme right end of the airport for a customs check before going to their check in queue. This can result in additional queuing for the uninitiated as there is no signage. There are well in excess of 20 counters so whilst it can be crowded in the evening as others mention it is not unmanageable. Passengers must go upstairs for immigration and here is the best eating place in the airport - the only problem is that is security are doing their job they may not allow your friends to come and eat with you. In this case there are a few outside eating options within a short walk of the departure area of which Airport Landing is probably the best for a full meal. Once through immigration the shopping options are limited and overpriced but there are places for drinks snacks or even small time gambling. Business passengers will according to their carrier be assigned to one of two lounges - whilst neither is spectacular the lounge used in the main by Skyteam partners is my preference. It has a view of the runway and usually some kind of food as well the usual drinks. This lounge is close to the departure gates for intercontinental flights but there are times when African flights including Kenyan are from the gate located at the other end of the airport. The other lounge is used by BA Emirates and also Star Alliance partners (South African Lufthansa and United and apparently soon to be Turkish). This has minimal food no natural light but is nicely decorated and probably has the better drinks selection. The main x-ray security is before you go to your gate and you then sit in an often poorly air conditioned room awaiting boarding - it is rare for boarding to start when they first announce that it is. These areas often have passengers from multiple flights at one time and there is some small risk of boarding the wrong plane in the chaos that can ensure. It is not the best end to the departure experience but with the limited space and an expanding range of carriers it is hard to overcome this and as others state staff are for the most part friendly and polite. On arrival immigration is normally not more than 10 or 15 minutes bags can be quick or slow like most places (though I find very slow for late night flights) and you must then go downstairs where you are likely to have your baggage tag checked to confirm you have picked up the correct item(s) of luggage. Beyond this point it can be a little chaotic - people will almost certainly offer you a taxi and try to carry your bag then put pressure on you for a tip. If you do not want any of these services it is best to smile and say so - personally I would always favour trying to arrange a reliable pick up at any unfamiliar airport and in Accra most hotels can arrange for this. The domestic terminal is fairly spartan but perfectly adequate.,NA,NA,NA,3,3,3,NA,NA,NA,3,NA,NA,0
addis-ababa-airport,/airport-reviews/addis-ababa-airport,Addis Ababa Airport customer review,Mario Eybers,South Africa,2014-06-25,By far the worst airport I have encountered. There is one working toilet in-transit. The shops look like they have been there since 1930. Even during the day the airport is dark and dusty. The staff are very helpful and friendly. The food and beverages in the shops looks unappetising. With so many people going through this airport one would expect more. Heavy security but that one can tolerate considering it is for everyone's benefit.,NA,NA,NA,NA,3,1,NA,NA,NA,1,NA,NA,0
addis-ababa-airport,/airport-reviews/addis-ababa-airport,Addis Ababa Airport customer review,L Norton,Zimbabwe,2012-01-23,I don't care much for this airport. No wifi. No washrooms in the boarding area. There are designated smoking areas but people seem to smoke everywhere. Generally the airport looks dinghy maybe this is due to the renovations. The duty free shops did not accept international cards at the time I wanted to buy and the pickings were slim in the stores. If I could avoid this airport I would.,NA,NA,NA,4,3,3,NA,NA,NA,2,NA,NA,0
addis-ababa-airport,/airport-reviews/addis-ababa-airport,Addis Ababa Airport customer review,N Hopkins,United States,2011-01-25,At Bole International as at other Ethiopian airports one must go through security twice -- removing shoes jackets watches and other items -- and going through the X-ray machines two times as well. Bole is a modern facility; but during my five hour layover neither the escalators nor the elevators were working. Not that meant I missed much. The dining and shopping facilities were all but non-existent until I passed through security the second time and got to the departures area. There were then mostly cheap souvenir shops. Curiously smoking is banned everywhere in the airport except at food and/or drinks bars.,NA,NA,NA,3,3,5,NA,NA,NA,1,NA,NA,0
addis-ababa-airport,/airport-reviews/addis-ababa-airport,Addis Ababa Airport customer review,Keith Rogers,Canada,2010-11-01,Had 1am departure so arrived at 10pm. Typical crush on airport entry with scanner at front door but no big deal overall. Check in smooth as we were business class and customs process smooth with priority line. Upstairs area has a lot of shops and restaurants. Entry to boarding area processed volume well.,NA,NA,NA,3,3,3,NA,NA,NA,3,NA,NA,0
addis-ababa-airport,/airport-reviews/addis-ababa-airport,Addis Ababa Airport customer review,C Williams,NA,2008-06-23,Addis Ababa's Bole Intl Airport is a new 5 gate terminal. On arrival immigration does take some time but you are dealt with in a courteous and professional manner. Although there are signs on the queue's - (Ethiopians Visitors Diplomats etc) you can use any queue. The visitor queue was quite long so we walked up to the diplomat queue and we were stamped in with no questions asked. Luggage collection & customs are swift although all bags are x-rayed by customs. The terminal is beautiful with Ethiopian marble all over the ground and a lot of cultural artefacts throughout the airport. Departures/check-in is fairly swift immigration is a quick stamp out. Note that you are security screened immediately upon entering the airport and before entering your gate. The duty free areas have a nice selection of Ethiopian artefacts. I have to agree with comments below about the bathrooms - they leave a lot to be desired.,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,0
adelaide-airport,/airport-reviews/adelaide-airport,Adelaide Airport customer review,Siti Raudzah Malik,Malaysia,2015-05-18,A very fine airport above average. The only downside was just the WiFi. The toilet was a bit dirty but nothing too disturbing as there were only toilet papers scattered on the floor. Other than that everything else was fine. The ground staffs were very nice and helpful. The security was also very tight but at the same time they were very polite and not rude. A good airport overall.,NA,NA,NA,8,4,4,NA,NA,NA,4,NA,NA,1
adelaide-airport,/airport-reviews/adelaide-airport,Adelaide Airport customer review,D Butler,Australia,2014-07-17,I wonder why the Adelaide airport design layout features an access ramp up to the departures level that is not used. It was in use when the new airport was first opened and worked brilliantly as I am sure it was designed to. So why the decision to abandon it? The current system of every single person and vehicle congregating in about 50 meters of kerbside is bordering on stupid. I was told it may be for security reasons. That is also hard to understand and is also bordering on stupidity.,NA,NA,NA,5,3,5,NA,NA,NA,3,NA,NA,1
adelaide-airport,/airport-reviews/adelaide-airport,Adelaide Airport customer review,Henry Tib,Australia,2013-11-01,"Drop off requires a walk across the new open air empty Plaza which is between the drop off and the terminal and can be a problem in avoiding inclement weather at the drop off and also in reaching the departure taxi rank. The terminal was obviously designed and built by an ""Engineer"" as the terminal is close to the ramp requires walking down a winding slope to board the aircraft. Catering amenities are very limited though the terminal is clean with plenty of seating. Being a new terminal it could have been better designed.",NA,NA,NA,7,3,4,NA,NA,NA,3,NA,NA,1
adelaide-airport,/airport-reviews/adelaide-airport,Adelaide Airport customer review,M O'Connor,NA,2010-09-14,When the new Adelaide airport was first opened they had a great system of long term car parking where a friendly guy in a van would pick you up after you parked and take you the terminal and vice versa with very little waiting time often from the car and back. In recent years they have introduced a bus that goes every 20 minutes. Most of the time we walk to and from the terminal because inevitably the bus is not in sync with the arrivals of planes particularly at night and the bus just sits at the car park and waits until the 20minutes is up and comes over the terminal so you are at your car before he has even left. They also used to have an area that was undercover for you to sit and wait at the car park so if it was raining you didnt get wet. Well last night at 7.30 we arrived back in Adelaide. it was pouring and we waited 25 minutes for the bus (he must have fallen asleep) and then he dropped us off at a point with no shelter and all the passengers and bags got very wet. No one was happy with the service and when you pay $50 to park your car I think it is reasonable to expect something better. First of all it there is no point in having such a large bus it is mostly empty and most people dont have 20 minutes to spare to catch the bus when the arrive at the airport and don't particularly want to wait 20 minutes when they arrive back from their trip. They want to get home asap. Why did the airport change a system that was exceptionally good to something very poor? It is such a shame as everything else about the airport is great.,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0
adelaide-airport,/airport-reviews/adelaide-airport,Adelaide Airport customer review,Henry Tib,NA,2006-05-24,"Had my first experience travelling on a regional airline from the new Adelaide terminal. It would seem that when they designed the new terminal they forgot about the regional air passengers. The departure ""gates"" for both the regional airlines are situated at the extreme end of the terminal requiring a fair walk although you can enjoy for part of the way a 50metre travelator ( though not sure it works) . When boarding you have to be escorted by the flight crew down a number of stairs to the exit for boarding. Regional air passengers returning to Adelaide airport again have to be escorted by the co-pilot to the terminal building through a concrete passageway then go through airport security and return to the upper level departure area through a door that is well away from the designated arrival area shown on the monitors to depart the terminal. nterstate passengers have to walk down two ramps to the aircraft and it would seem for speedier boarding passengers seated at the rear of the aircraft are directed to walk across the the tarmac to the rear steps of the aircraft. A procedure no different from the old terminal. Adelaide airport had a great opportunity to build a 21st century air terminal it would seem the opportunity was taken up!",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
adelaide-airport,/airport-reviews/adelaide-airport,Adelaide Airport customer review,James Short,NA,2004-12-05,Check-in for QF flight took under 5 mins and Qantas staff were very helpful in checking baggage through to LHR. Terminal is small but functional. We passed through 9am-10.30am on a Thursday. Clean ample toilet facilities small cafe and bookshop. Good facilities for size of Airport. New Terminal building well in progress and I believe set to open 2005.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
