airline_name,link,title,author,author_country,date,content,lounge_name,airport,lounge_type,date_visit,type_traveller,overall_rating,comfort_rating,cleanliness_rating,bar_beverages_rating,catering_rating,washrooms_rating,wifi_connectivity_rating,staff_service_rating,recommended
air-canada,/lounge-reviews/air-canada,Air Canada Business Class Arrivals Lounge - London Heathrow Airport,Paul Browne,NA,2010-05-01,This place hasn't changed for years. Shower rooms are large and clean but had a really bad smell - like the sewer had backed up. The staff are welcoming but if I hadn't arrived so early and knew that my hotel room would not be ready I think I would just go straight to the hotel. Food offerings really limited in a small crowded room.,AIR CANADA BUSINESS CLASS ARRIVALS LOUNGE REVIEW,London Heathrow Airport,Business Class,NA,NA,3,4,4,3,3,3,0,4,0
air-canada,/lounge-reviews/air-canada,Air Canada Business Class Maple Leaf Lounge - Vancouver Airport,Paul Browne,NA,2010-05-01,One of the nicest lounges I've seen with great breakfast offerings and superb staff. And then there's the views!,AIR CANADA BUSINESS CLASS MAPLE LEAF LOUNGE REVIEW,Vancouver Airport,Business Class,NA,NA,5,5,5,5,5,4,5,5,0
air-canada,/lounge-reviews/air-canada,Air Canada Maple Leaf Lounge - Toronto Pearson Airport,D Chan,NA,2008-10-30,Limited view of the apron. Newspaper/food/drink selections minimal. Good business facilities. Toilet facility inadequate and was not kept clean.,AIR CANADA MAPLE LEAF LOUNGE REVIEW,Toronto Pearson Airport,NA,NA,NA,2,4,3,1,1,2,4,2,0
air-france,/lounge-reviews/air-france,Air France Business Class Lounge - Paris CDG Airport,Olivier Ragu,Japan,2013-07-20,I took the opportunity to test the new AF lounge at the newest boarding satellite called S4. A completely new experience from the other lounges I have visited at CDG. Very large seperated in several areas with a real bar with the usual selection and great wines and a first for any AF lounge a self service Hot food corner including some risotto pasta cold meat and some pastries for dessert. A huge step from the S3 lounge. No problem at all to find a table or a sofa to rest. Plenty of working space and reading material too. Modern design with a nice view on the tarmac. Hope they would upgrade the other lounges the same way!,AIR FRANCE BUSINESS CLASS LOUNGE REVIEW,Paris CDG Airport,Business Class,NA,NA,4,5,4,4,4,4,5,4,1
air-india,/lounge-reviews/air-india,Air India Executive Lounge - Delhi Airport,J Dee,Australia,2015-02-04,If you want to feel depressed about your choice of airline Air India's Business Lounge in Delhi International will do it for you. Curry or Curry with rice for a meal. Samosas in an oven that had been there for at least a week. 2 beers in the fridge dirty plates stacked everywhere toilets that need a pressure cleaner desperately. Truly third world and nowhere near international standards. Flickering or dead light fixtures tired interior no staff no food if you are sick of curry just no point. Got so sick of the depressing place I went next door and paid to use another lounge.,AIR INDIA EXECUTIVE LOUNGE REVIEW,Delhi Airport,NA,NA,NA,1,2,1,1,1,1,1,1,0
air-france,/lounge-reviews/air-france,Air France Business Class Lounge - Paris CDG Airport,C Chouleur,France,2012-08-05,The design is very trendy and it offers nice views on the apron. It is divided in several zones depending on what you are looking for. Usually AF lounges are not very good for the catering but this one offers a wide choice of food and drinks. I took advantage of the Clarins Spa that is free. It's now time for Air France to offer a consistent product and offer the same comfort and quality and choice of food in all their lounges.,AIR FRANCE BUSINESS CLASS LOUNGE REVIEW,Paris CDG Airport,Business Class,NA,NA,5,5,4,5,4,5,5,4,1
air-france,/lounge-reviews/air-france,Air France Business Class Lounge - Paris CDG Airport,D Rose,United States,2012-05-21,I don't understand the Air France business class product at all particularly compared to similarly priced business class products like British Airways or Virgin Atlantic (which actually are less expensive). At a BA or Virgin lounge you get a fully stocked and staffed bar. At Air France the self- service selections at Air France are limited. At a BAR or Virgin Lounge I can order a full sit down meal. At Air France I got to chose from slices of cold pork some cheese some crackers and potato chips. I do my best to avoid Air France but sometimes I have no other option.,AIR FRANCE BUSINESS CLASS LOUNGE REVIEW,Paris CDG Airport,Business Class,NA,NA,3,4,5,2,1,3,4,2,0
air-india,/lounge-reviews/air-india,"Air India ""louis Tavern"" Business Class Lounge - Bangkok Suvarnabhumi Airport",Mark Wilkins,United Kingdom,2014-01-13,Air India use the Louis Tavern lounge in Bangkok airport which is open to the general public on payment. There are very limited facilities in the lounge (no TV no toilets) but a better drinks and food selection than either the Air India lounges used on this trip or the Thai lounges used in Bangkok before. Wifi good and accessed via passkeys provided at reception to lounge. Aircraft boarding information needs improvement though. Not busy despite the amount of people in the airport that morning.,"AIR INDIA ""LOUIS TAVERN"" BUSINESS CLASS LOUNGE REVIEW",Bangkok Suvarnabhumi Airport,Business Class,NA,NA,4,5,4,5,3,1,5,4,1
air-india,/lounge-reviews/air-india,Air India Maharaja Business Class Lounge - Mumbai Airport,Mark Wilkins,United Kingdom,2014-01-13,Visited whilst in international transit. Good points - this new lounge is huge has a varied selection of seats including recliners shower facilities are good OKAY selection of reading material and half a dozen internet terminals for free internet access. The bad points are that whilst Air India's website shows alcohol is available to international travellers none is available or on show. In fact there's one small fridge with water pepsi 7 up fanta or fruit juice - that's it. The food selection is similarly limited and the hot selection was particularly unsatisfactory (2 veg 1 meat - however there appeared to be no chicken in this!). Wifi is the airports and not the lounges - limited and very slow - had to use the dedicated terminals instead. Was again a good place to rest and read but not on a par with other carriers i have flown.,AIR INDIA MAHARAJA BUSINESS CLASS LOUNGE REVIEW,Mumbai Airport,Business Class,NA,NA,3,5,4,1,1,4,2,3,0
air-india,/lounge-reviews/air-india,Air India Maharaja Business Class Lounge - London Heathrow Airport,Mark Wilkins,United Kingdom,2014-01-13,Myself and fellow passengers entered this lounge 3 hours before the flight to be told the hot food would not be available for another 30 minutes. Good points - plenty of seating good wi-fi newspaper selection tv drinks selection notified when it was time to board. Bad points - except for the shami kebabs the food selection was poor and in the case of the sheesh kebabs revolting. Had the crackers and crisps instead once the shami had run out. The staff were overstretched (there appeared to be only 2 of them) and as a result items were not cleared or refreshed. Recommend the lounge as an escape from the crowds but eat beforehand.,AIR INDIA MAHARAJA BUSINESS CLASS LOUNGE REVIEW,London Heathrow Airport,Business Class,NA,NA,3,4,3,5,1,3,5,2,1
air-france,/lounge-reviews/air-france,"Air France Skyteam Elite Plus ""le Patio"" Lounge - Paris Orly Airport",Paul Van Alsten,NA,2010-02-09,Le Patiolounge is located on the 1st floor of Orly-Ouest Hall 2 just after the security check. Staff is very polite and friendly. Lounge is clean and seats are comfortable with a nice view on the apron. There are three free internet computers - all were working properly. Quite a large selection of newspapers but most of them in French and only two in English. The huge disappointment is the poor food and drinks. For hot drinks there are only vending machines - the same type as in gas stations. The choice for cold beverages is a bit larger but only small cans are offered. Forget about food - at any time of the day the lounge offers only chips or biscuits!,"AIR FRANCE SKYTEAM ELITE PLUS ""LE PATIO"" LOUNGE REVIEW",Paris Orly Airport,NA,NA,NA,2,3,3,2,1,1,4,3,0
air-france,/lounge-reviews/air-france,Air France Business Class Lounge - Riyadh Airport,A Hetier,NA,2008-12-31,"I wonder if we are talking about the same lounge here. There are two international terminals one for Saudi Arabian airlines and one for all other airlines. At the ""foreign"" international terminal the lounge was crowded and obviously too small but let's say it did the job: a seat free drinks free Wi-fi. Women can access the lounge and sit anywhere (it is not separate). There are large TV screens and staff announce flights on time.",AIR FRANCE BUSINESS CLASS LOUNGE REVIEW,Riyadh Airport,Business Class,NA,NA,2,2,3,3,2,0,3,4,0
air-new-zealand,/lounge-reviews/air-new-zealand,Air New Zealand Business Class Lounge - Melbourne Airport,M Duffy,Australia,2014-10-04,Thai Airways uses Air NZ's Koru lounge at Melbourne's Tullamarine airport. TG462 departs at 0030 and it is sad to relate that this excellent lounge has very little to offer the business class traveler at the end of the day. Eats such as they were consisted of a very tired salad bowl a few biscuits and a bowl of fruit salad. In the drinks department there was no chardonnay only Marlborough Sav/blanc in the white range and one brand of red (cab/sav). I have used this lounge on several occasions earlier in the day when it is sparkling clean with plenty of food and drinks choices. I got the impression that the staff just wanted the Thai travelers out of the lounge ASAP in order to close the facility for the day. In fact the whole of Tullamarine Airport at that late hour is a shambles. It was a highly disappointing experience.,AIR NEW ZEALAND BUSINESS CLASS LOUNGE REVIEW,Melbourne Airport,Business Class,NA,NA,2,2,1,1,1,2,4,2,0
air-new-zealand,/lounge-reviews/air-new-zealand,Air New Zealand Domestic Frequent Flyer Lounge - Auckland Airport,Peter Fitzgerald,New Zealand,2014-08-02,Crowded and loud noise. School holidays and full of children. Given the very permissive nature of Koru club membership and size of all the Air NZ lounges in NZ this is not a good time to be a business traveller.,AIR NEW ZEALAND DOMESTIC FREQUENT FLYER LOUNGE REVIEW,Auckland Airport,Frequent Flyer,NA,NA,3,2,3,3,3,3,3,2,0
air-new-zealand,/lounge-reviews/air-new-zealand,Air New Zealand Business Class Lounge - Sydney Airport,T Collier,United Kingdom,2013-08-14,Fantastic lounge. Plenty of seat choices and a large food/beverage area. Staff keep the place impeccably clean –our empty cup/plate was removed what felt like seconds after you finished. We arrived just at the end of the breakfast service but you could still pick up some items off that menu – cheese & bacon muffins were delicious! The soft drinks were dispensed via a soda machine and my only quibble was that the glasses could have been done with being bigger. The ones there were more for adding a mixer to alcohol than someone just having a soft drink. Good free unlimited wifi too once you get the password from the receptionist on the way in.,AIR NEW ZEALAND BUSINESS CLASS LOUNGE REVIEW,Sydney Airport,Business Class,NA,NA,5,5,5,5,5,5,5,5,1
air-new-zealand,/lounge-reviews/air-new-zealand,Air New Zealand Business Class Lounge - Los Angeles Lax Airport,Derek Greenaway,United Kingdom,2011-10-21,Quite a comfortable lounge while not very exciting. Good selection of NZ wines cold meats cheese biscuits and bread with salad all self service. Several work stations with a rather slow internet connection. Staff polite and helpful. One grudge is the seating arrangements all of the side window tables are set for four people they always seem to be occupied by just one person who takes over the whole space confining the rest of the passengers to squeeze into the area in the centre. Not the best but certainly much better than having to use the dreadful facilities (or lack of them ) in LA airport,AIR NEW ZEALAND BUSINESS CLASS LOUNGE REVIEW,Los Angeles Lax Airport,Business Class,NA,NA,3,3,4,4,3,3,3,3,1
air-new-zealand,/lounge-reviews/air-new-zealand,Air New Zealand Koru Business Class Lounge - Sydney Airport,J Cobcroft,Australia,2011-10-21,Lost a bit of sparkle over the last visit. Seems like every airline on the planet has use of this lounge. Drab and uninviting. Good drink selection. Food very average. Koru membership comes up for renewal soon-I won't be renewing.,AIR NEW ZEALAND KORU BUSINESS CLASS LOUNGE REVIEW,Sydney Airport,Business Class,NA,NA,3,3,3,4,1,4,3,4,0
air-new-zealand,/lounge-reviews/air-new-zealand,Air New Zealand Koru Business Class Lounge - Auckland Airport,J Cobcroft,Australia,2011-10-21,Lots of changes since last visit. Most changes not good. Overcrowded and uninviting. No views of airport at all. All windows frosted!. Never again. Will not be renewing Koru membership.,AIR NEW ZEALAND KORU BUSINESS CLASS LOUNGE REVIEW,Auckland Airport,Business Class,NA,NA,3,3,3,4,2,3,3,4,0
air-new-zealand,/lounge-reviews/air-new-zealand,Air New Zealand Business Class Lounge - Sydney Airport,Stephen Taynton,Kazakhstan,2011-09-13,I had not used this lounge for a number of years. The lounge is quite large with good seating - it was late at night so there were few passengers. The drink selection was good but the food was pretty bad only some tired cheese and ham on display.,AIR NEW ZEALAND BUSINESS CLASS LOUNGE REVIEW,Sydney Airport,Business Class,NA,NA,4,4,4,5,1,4,4,4,0
air-new-zealand,/lounge-reviews/air-new-zealand,Air New Zealand Business Class Lounge - Raratonga Airport,Anthony Gibbons,New Zealand,2011-05-03,The new lounge is superb with excellent staff service. Décor is fresh and modern. Food and beverages fine but the best bit is the shower facilities now available at Raro (good if you've just come in from an inter-island flight or are in transit to LAX ).,AIR NEW ZEALAND BUSINESS CLASS LOUNGE REVIEW,Raratonga Airport,Business Class,NA,NA,5,5,5,5,4,5,4,5,0
alaska-airlines,/lounge-reviews/alaska-airlines,"Alaska Airlines ""board Room"" Lounge - Seattle Airport",S Koenig,United States,2015-01-04,I was flying first class from SEA to LAX. Alaska is one of the U.S. carriers (maybe the only one) to grant lounge access to those flying first class domestically and not connecting to an international flight. Lounge was large (didn't realize at first there was a second floor). Selection of drinks and snacks was standard. Wi-Fi access was fine. Lounge was crowded on a weekday morning but I had no trouble finding a place to sit and plug in my PC or phone. I don't know if there were showers.,"ALASKA AIRLINES ""BOARD ROOM"" LOUNGE REVIEW",Seattle Airport,NA,NA,NA,4,4,4,3,3,3,4,4,1
alitalia,/lounge-reviews/alitalia,Alitalia Business Class Lounge - Rome Fiumicino Airport,R Gibson,United States,2014-08-30,"We were booked into a United BusinessFirst cabin so we were given access to the Alitalia lounge located in the lower level (read as basement) of the terminal. The check in desk upon entering is staffed by Alitalia employees who were fairly friendly. Since it was early (7:30 a.m.) we didn't expect too much. We weren't disappointed. The lounge is very dated with a bland color scheme - white and orange. There was a service station manned by a very unhappy looking gent who despite his sour demeanor provided efficient - albeit robotic - service. Coffee (American) was available but the cup is one that is normally used for cappuccino so not very large. Cappuccinos and espressos are available on request. The ""food"" consisted of cold cereals sweet croissants and bread/butter with jam. Yogurts were also available but without spoons. Since it was so early we weren't interested in cocktails but the 'bar"" consisted of bottles of mostly empty liquor save for the almost full bottle of sweet vermouth. Don't plan on having a drink in this lounge - there won't be anything available. Our flight was announced and we made our way to the gate. This ""lounge"" was really sad. United should be ashamed that this is what they offer their ""premium"" passengers.",ALITALIA BUSINESS CLASS LOUNGE REVIEW,Rome Fiumicino Airport,Business Class,NA,NA,2,3,2,2,1,3,3,2,0
alitalia,/lounge-reviews/alitalia,Alitalia Le Anfore Business Class Lounge - Rome Fiumicino Airport,E Agamennone,China,2013-03-20,Lounge was just fine: clean and conveniently located but overcrowded. Food and beverage was not you would expect from a business lounge in Italy: a few cold sandwiches basic soft drinks and house wine. Overall an average/below average lounge.,ALITALIA LE ANFORE BUSINESS CLASS LOUNGE REVIEW,Rome Fiumicino Airport,Business Class,NA,NA,3,3,4,2,2,3,4,4,0
american-airlines,/lounge-reviews/american-airlines,American Airlines First/flagship Lounge - Miami Airport,J Rose,Australia,2015-05-09,Used this lounge as the BA lounge for a flight form MIA-LHR. Absolutely one of the poorest quality first/business lounges imaginable. Shabby old interior badly in need of a refresh unappetizing food choices of sad looking sandwich meats cheeses vegetables et all presented in old school trays/tins. Old school tech as well with half the power ports not functional. Not even remotely close to QF CX BA standard and BA should be ashamed to use it. With all of their traffic in and out of Miami time for a new lounge with modern interior and amenities. Appalling OneWorld Emerald prOduct that is truly substandard.,AMERICAN AIRLINES FIRST/FLAGSHIP LOUNGE REVIEW,Miami Airport,First Class,NA,NA,2,2,2,1,1,1,4,3,0
american-airlines,/lounge-reviews/american-airlines,American Airlines Admirals Club Business Class Lounge - Miami Airport,R Vines,United Kingdom,2014-04-14,Not a terrible lounge. It's quite spacious. There's just no sense of warmth or hospitality.,AMERICAN AIRLINES ADMIRALS CLUB BUSINESS CLASS LOUNGE REVIEW,Miami Airport,Business Class,NA,NA,2,3,3,1,1,3,3,3,0
american-airlines,/lounge-reviews/american-airlines,American Airlines Admirals Club First Class Lounge,S Koenig,Brazil,2013-11-22,"Large lounge with excellent array of facilities (including showers) and both WiFi service and several PCs (though on this visit the PCs were not working-- connection issues). You get coupons for a free ""premium"" drink. Food for sale is pretty much what you'd expect from an airport lounge (it's more a bar than a restaurant). The biggest downside is that the airport's main lounge can get crowded and finding a place to sit can be difficult at peak times (made worse by people using seats for their coats and carry-on bags).",AMERICAN AIRLINES ADMIRALS CLUB FIRST CLASS LOUNGE REVIEW,NA,First Class,NA,NA,4,4,4,4,4,5,4,4,1
american-airlines,/lounge-reviews/american-airlines,American Airlines Admirals Club Lounge - London Heathrow Airport,G James,United Kingdom,2012-08-05,Late evening (9.35 pm) to Taiwan/Brisbane on Eva Air. Visited the lounge for some refreshment. Although the lounge was spotless and all used dishes were removed quickly the food available was dire. The sandwiches were curling and mini pork pies looked as if they'd been there all day. The Asian selection looked to be more appetising. Very disappointing.,AMERICAN AIRLINES ADMIRALS CLUB LOUNGE REVIEW,London Heathrow Airport,NA,NA,NA,4,4,5,3,2,3,5,4,0
ana-all-nippon-airways,/lounge-reviews/ana-all-nippon-airways,Ana All Nippon Airways Business Class Lounge - Tokyo Haneda Airport,Michael Schade,United Arab Emirates,2012-08-31,One of the best lounges I have ever been to. Great food and drinks courteous and efficient staff and excellent shower facilities.,ANA ALL NIPPON AIRWAYS BUSINESS CLASS LOUNGE REVIEW,Tokyo Haneda Airport,Business Class,NA,NA,5,4,5,5,4,5,5,5,1
ana-all-nippon-airways,/lounge-reviews/ana-all-nippon-airways,Ana All Nippon Airways Business Class Lounge - Tokyo Narita Airport,K Chen,Canada,2012-05-21,Very slick and comfortable lounge spacious and quiet with a separate cordoned off area to rest on an armchair to soothing music and relaxing fragrance. Wide range of food choices including freshly cooked noodles on demand. Clean bathroom facilities (I did not use the shower) though there are no barriers separating the urinals. There is a separate business section with cubicles and comfortable chair and desk for you to work. Staff very courteous and friendly. The downside is there are no windows so no view of the outside and of airplanes. And the internet connectivity is poor/non-existent in certain areas of the lounge most frustratingly in the business work area!,ANA ALL NIPPON AIRWAYS BUSINESS CLASS LOUNGE REVIEW,Tokyo Narita Airport,Business Class,NA,NA,4,5,5,5,4,4,1,5,1
asiana-airlines,/lounge-reviews/asiana-airlines,Asiana Airlines Business Class Lounge - Incheon Airport,Keith Rogers,Canada,2013-10-06,Very good lounge for depart from Seoul to LA. Internet service very good food ok. I do note the comments on noodles - yes a tad tacky but actually like noodles so not that bad really. Lots of the chairs are more stadium - rows all facing the same direction so number of seats that are more for 2 people to sit together is a lot less. Still overall not a bad lounge in a stellar airport. And yes Japan and Korea have the best toilets ever.,ASIANA AIRLINES BUSINESS CLASS LOUNGE REVIEW,Incheon Airport,Business Class,NA,NA,4,4,5,4,3,5,4,5,1
austrian-airlines,/lounge-reviews/austrian-airlines,Austrian Airlines Gold / Senator Lounge - Vienna Airport,Magnus Gustafsson,Sweden,2013-09-15,I visited the lounge in the G-area (Schengen) on August 31 at 18:00-19:30. The lounge is nice and tidy and rather seldom overcrowded. The variety of drinks and food is good. Normally you will find both hot and cold food that is very tasteful. The seats in the lounge are not especially comfortable. The free WiFi is always troublesome and I have never managed to connect but the are free computers and Internet cables available. Nevertheless the WiFi should be improved or the instructions to be made clearer on how to connect. In the central area of the lounge there is a TV showing CNN. The volume should be adjusted to be just slightly higher since it is very difficult to hear anything if you are not sitting 1 metre or closer to the TV. In general I would however rate this lounge as comfortable and relaxing.,AUSTRIAN AIRLINES GOLD / SENATOR LOUNGE REVIEW,Vienna Airport,NA,NA,NA,3,4,4,4,4,0,2,3,1
avianca,/lounge-reviews/avianca,Avianca El Dorado Business Class Lounge Customer - Bogota Airport,M Chia,Australia,2013-11-15,After being deprived of a lounge in Santiago I was hoping to be compensated by the new lounge in Bogota. But I was rather disappointed. First the directions given by the checkin agent was go straight after security. Unfortunately there was a T-junction where the sign board had an arrow pointing UP. I asked a staff but the directions was confusing. Having heard that it was past the food court I look for this sign reach a dead end a construction area. So I backtracked and saw the food court UPSTAIRS. Going into the lift I pressed 2 the floor the agent told me. It didn't move. I try 3 and it moves. Actually the lounge is no longer after the food court but to the side especially if you take the lift. Next I looked for the toilet. I could see the female toilet but not the male one. I walked to the other end - still no toilet. Backtracked all the way to exit still no toilet. You see the male toilet is beyond the ladies but it is not visible from this direction or that. And there are no signs to overcome this. Then I went for the food. The spread was astonishingly poor. Many plates of ham and cheese. Some salad and juices. That's it for food. (I hadn't checked the alcoholic section.) I gathered some food and look for the cutlery. Not obvious again. After going around i found forks and knives but no spoon. I asked the cleaning lady and she obliged. Huge traffic during lunch time is no excuse Then I go the work area. Plugged in my video camera to recharge. Power light doesn't come on. I jiggled here and there. Still no power. So I waited for another table to be vacant. And there's power. So my verdict. Great potential. Lots of shortcomings which can be easily rectified. I hope Avianca realises that most people only use the lounge once. And some older people are not so mobile so they need good direction signs.,AVIANCA EL DORADO BUSINESS CLASS LOUNGE CUSTOMER REVIEW,Bogota Airport,Business Class,NA,NA,3,3,3,3,1,3,4,1,0
avianca,/lounge-reviews/avianca,Avianca El Dorado Business Class Lounge Customer - Bogota Airport,Richard Winger,NA,2010-08-28,Avianca international business lounge was lovely when it came on line a couple of years ago. Tasteful decor imaginative catering reasonably comfortable. Since then it's gone sadly downhill. It is impossibly packed at peak hours food is pathetic (dusty sandwiches no plates plastic glasses no service) computers generally occupied by kids playing games the main lounge dominated by blaring TVs so work impossible. The best you can do is hug one of the little chairs in the front room and use earplugs. Another strange habit of the airline is to call US flights in the lounge while there is still a half hour line for secondary inspection at the gate.,AVIANCA EL DORADO BUSINESS CLASS LOUNGE CUSTOMER REVIEW,Bogota Airport,Business Class,NA,NA,2,2,2,1,1,3,2,1,0
avianca,/lounge-reviews/avianca,Avianca Business Class Lounge - Bogota Airport,Uwe Bode,NA,2008-07-02,Nice Lounge with friendly staff divided into 2 areas one with view over the airfield which is good as I personally don´t like places without windows. A real drawback is that they don´t provide plates not even plastic plates for the snacks one has to use napkins! Strange for a Business lounge. The catering itself is not bad but nothing special either. Self-service bar unlike the real bar service at Lima airport for example. At peak hours it can be really packed especially between 7pm and 9:30pm when many AV international flights leave. Nevertheless a nice place to relax after check-in and security procedure. Also not far from the gates short walk of 1-3 minutes. All in all good average.,AVIANCA BUSINESS CLASS LOUNGE REVIEW,Bogota Airport,Business Class,NA,NA,3,3,3,3,3,0,3,3,0
